ta_season,ta_market,ta_name,ta_team_code,ta_team_id,ta_alias,ta_division,ta_current_division,ta_wins,ta_losses,ta_ties,spread_0,spread_1,spread_2,spread_3,spread_4,spread_5
2015,University of Evansville,Aces,219,d8217105-e9c2-4267-9538-3aaeea1ae167,EVAN,1,D1,25,9,0,16,12,-5,6,0,0
2015,University of San Francisco,Dons,629,d24efd99-8717-43b9-a086-9986a684ac04,SF,1,D1,15,15,0,0,-4,9,-1,6,4
2015,University of Tennessee at Chattanooga,Mocs,693,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,CHAT,1,D1,29,6,0,23,12,3,-6,-10,0
2015,Rice University,Owls,574,bb384635-c3a0-459a-8f13-fcd7177313e5,RICE,1,D1,12,20,0,-8,-8,-16,-21,3,-4
2015,Temple University,Owls,690,8598d1b6-106b-4083-a512-2e495729525a,TEM,1,D1,21,12,0,9,15,-13,14,16,18
2015,Kennesaw State University,Owls,1157,2e8442e9-bd09-4d46-9dd3-de79433287f3,KENN,1,D1,11,20,0,-9,-12,-19,-24,-25,-15
2015,Florida Atlantic University,Owls,229,c851131a-5ecd-4670-81bc-b40f4837dd65,FAU,1,D1,8,25,0,-17,-11,-12,-4,-8,10
2015,Fordham University,Rams,236,7888d144-563d-4f84-b99b-d120aecf1fef,FOR,1,D1,17,14,0,3,-11,-11,-17,-9,-14
2015,Colorado State University,Rams,156,1a470730-f328-4fb1-8bbf-36a069e4d6b2,CSU,1,D1,18,16,0,2,20,0,17,8,6
2015,University of Rhode Island,Rams,572,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,URI,1,D1,17,15,0,2,13,-4,-13,-17,6
2015,Virginia Commonwealth University,Rams,740,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,VCU,1,D1,25,11,0,14,16,17,18,22,16
2015,University of Utah,Utes,732,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,1,D1,27,9,0,18,17,9,-3,-19,-5
2015,University of Akron,Zips,5,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,AKR,1,D1,26,9,0,17,7,8,19,10,10
2015,Long Beach State University,49ers,99,11a617d5-af03-4cce-bc8a-51114d9e41fe,LBSU,1,D1,20,15,0,5,-1,-2,5,16,10
2015,"University of North Carolina, Charlotte",49ers,458,8ddbfca9-a931-4908-aa31-9fcd17624b5f,CHAR,1,D1,14,19,0,-5,-4,3,9,-4,-10
2015,Brown University,Bears,80,558abf02-97f4-4323-aa99-63c076d35932,BRWN,1,D1,8,20,0,-12,-5,1,-2,-15,-6
2015,Baylor University,Bears,51,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,BAY,1,D1,22,12,0,10,14,14,9,22,5
2015,Mercer University,Bears,406,a14b0057-8eb5-43d2-a33b-666196da933e,MER,1,D1,19,15,0,4,3,18,12,16,-3
2015,Morgan State University,Bears,446,576b816b-5b9a-4768-a62b-f8435a8272c2,MORG,1,D1,9,22,0,-13,-17,-1,2,-11,3
2015,Missouri State University,Bears,669,b83de2df-328f-4303-9895-cdff048fb1ed,MOSU,1,D1,13,19,0,-6,-9,7,-11,0,17
2015,University of Central Arkansas,Bears,1004,dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355,CARK,1,D1,7,21,0,-14,-25,-13,-4,-13,-19
2015,University of Northern Colorado,Bears,502,7e42fa84-68cd-47a6-b49a-18b5414d8084,UNCO,1,D1,10,21,0,-11,0,4,-5,-10,10
2015,Howard University,Bison,290,22fbe5dc-c6db-4675-b3a3-2d8af7f5d313,HOW,1,D1,12,20,0,-8,0,-17,-17,-11,-18
2015,Bucknell University,Bison,83,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,BUCK,1,D1,17,14,0,3,4,2,22,15,16
2015,North Dakota State University,Bison,493,984e7518-e418-45d5-9797-979b8c2085c1,NDSU,1,D1,20,13,0,7,13,19,14,3,-1
2015,University of South Florida,Bulls,651,55af9c69-3675-4b9b-a882-96640b782fff,USF,1,D1,8,25,0,-17,-14,-8,-7,8,-13
